brand,model,year,price,mileage
toyota,cruiser,2008,6300,274117
ford,se,2011,2899,190552
dodge,mpv,2018,5350,39590
ford,door,2014,25000,64146
chevrolet,1500,2018,27700,6654
dodge,mpv,2018,5700,45561
chevrolet,pk,2010,7300,149050
gmc,door,2017,13350,23525
chevrolet,malibu,2018,14600,9371
ford,mpv,2017,5250,63418
dodge,coupe,2009,10400,107856
gmc,mpv,2017,12920,39650
chevrolet,1500,2018,31900,22909
chrysler,wagon,2017,5430,138650
ford,door,2013,20700,100757
gmc,door,2017,12710,25747
kia,forte,2018,5200,46194
buick,encore,2018,16500,20002
ford,mpv,2017,5210,35714
ford,door,2013,38100,54380
gmc,door,2017,12520,30114
kia,forte,2018,7300,38823
chevrolet,door,2015,15000,61578
ford,mpv,2017,6180,46010
ford,door,2013,20800,105510
gmc,door,2017,11900,28040
kia,sorento,2020,21500,11451
buick,door,2014,12000,31039
ford,doors,2017,4190,44174
ford,chassis,2008,13000,93698
gmc,door,2017,12710,26364
infiniti,q70,2016,18500,71967
chevrolet,camaro,1973,29800,46226
ford,mpv,2017,5330,37792
ford,convertible,2003,13000,58817
gmc,door,2017,11900,27965
mercedes-benz,vans,2016,16600,110907
chevrolet,1500,2018,19200,2430
ford,mpv,2017,7320,32366
ford,pk,2003,7000,176567
gmc,door,2017,12710,30049
mercedes-benz,vans,2016,16600,97983
chevrolet,1500,2018,30500,30442
ford,mpv,2017,6330,38123
ford,srw,2017,55000,15273
gmc,door,2017,12520,28972
jeep,compass,2019,16200,30061
chevrolet,malibu,2017,19000,18414
dodge,mpv,2017,5580,46829
ford,srw,2017,54000,26241
gmc,mpv,2017,12710,39886
jeep,compass,2019,16000,31594
buick,enclave,2017,27000,32107
ford,mpv,2017,7760,44794
chrysler,300,2019,19600,42648
gmc,mpv,2017,12920,39165
jeep,cherokee,2019,20000,38355
buick,door,2017,18100,46766
chrysler,pacifica,2020,23000,2473
chrysler,300,2019,18500,38586
gmc,door,2017,13490,27842
jeep,cherokee,2019,20700,31156
chevrolet,door,2017,17800,52435
ford,door,2017,6650,29942
chrysler,pacifica,2019,29100,25281
gmc,door,2017,12710,32504
jeep,cherokee,2019,21100,28649
chevrolet,door,2017,18600,35200
ford,door,2017,4340,25602
chrysler,300,2019,19300,34801
gmc,door,2017,12780,31009
jeep,compass,2019,15800,35595
bmw,x3,2017,29400,23765
ford,door,2017,4430,31792
chrysler,300,2019,19400,33135
gmc,door,2017,12520,30636
jeep,compass,2019,15900,34502
buick,door,2017,26400,25434
ford,door,2017,4140,36732
chrysler,300,2019,18300,41792
gmc,door,2017,12520,31992
jeep,compass,2019,17900,32501
chevrolet,camaro,2017,18300,28395
ford,door,2017,4640,36139
ford,door,2016,24000,84413
gmc,door,2017,13200,33457
jeep,compass,2019,18000,29245
chevrolet,equinox,2017,14900,12783
ford,door,2017,4140,17617
ford,door,2016,11500,36855
ford,door,2017,9110,110316
chrysler,door,2015,7350,88227
bmw,door,2017,24500,17626
ford,door,2017,9300,120353
dodge,challenger,2015,39800,3641
bmw,m,2017,53500,29355
ford,door,2017,15110,39333
ford,door,2015,34000,42930
chevrolet,colorado,2017,26502,24993
ford,mpv,2017,5990,44929
ford,focus,2018,13600,16971
cadillac,door,2017,23605,35598
ford,mpv,2017,10780,40455
ford,focus,2018,13800,23164
cadillac,door,2017,25201,19011
ford,mpv,2017,7070,45191
ford,focus,2018,8700,21405
chevrolet,malibu,2017,18003,19117
ford,door,2017,8530,42104
dodge,durango,2018,23100,49496
cadillac,door,2017,24500,32418
ford,mpv,2017,7000,29882
ford,escape,2018,17000,34819
chevrolet,1500,2017,34002,31923
ford,mpv,2017,6980,29168
dodge,charger,2018,25000,28307
chevrolet,colorado,2017,20802,33791
ford,door,2017,9200,21770
chrysler,pacifica,2017,26500,18375
chevrolet,colorado,2017,24802,14158
ford,mpv,2017,7070,30318
ford,door,2017,28500,48086
cadillac,door,2017,47500,26562
ford,explorer,2017,23500,57611
chevrolet,colorado,2017,23505,47357
ford,door,2017,10940,84916
ford,f-150,2017,32100,24521
chevrolet,3500,2018,53000,16105
ford,mpv,2017,6830,35888
dodge,caravan,2017,11900,59537
chevrolet,1500,2017,26414,55222
dodge,mpv,2018,4160,32870
chevrolet,door,2017,19405,39687
dodge,mpv,2018,5690,47085
chrysler,van,2017,25900,32224
chevrolet,1500,2017,24005,51293
dodge,mpv,2018,5090,42989
chrysler,300,2017,19500,31311
chevrolet,1500,2017,32012,46091
dodge,dart,2016,6800,49033
dodge,mpv,2018,4260,33957
dodge,van,2008,0,177948
chevrolet,2500,2017,31802,19845
dodge,doors,2018,7210,38910
dodge,door,2014,0,123660
chevrolet,1500,2017,28402,31234
dodge,doors,2018,6800,36767
cadillac,esv,2015,33300,57932
dodge,mpv,2018,10780,19420
ford,cutaway,2014,6700,204155
chevrolet,1500,2016,20000,93493
chrysler,doors,2018,6440,20942
ford,door,2016,19900,86826
chevrolet,door,2015,37000,45787
dodge,mpv,2018,4040,50765
ford,explorer,2016,22300,62774
chevrolet,door,2011,31200,76326
dodge,mpv,2018,4290,39029
ford,el,2016,22800,72885
cadillac,door,2016,19002,46467
dodge,mpv,2018,4160,6743
ford,edge,2016,18500,33514
bmw,series,2016,39000,39917
dodge,doors,2018,6060,32504
ford,door,2016,28800,77638
bmw,series,2016,40000,31727
