color,director_name,num_critic_for_reviews,duration,actor_1_name,gross,movie_title,genres
Color,James Cameron,723,178,CCH Pounder,760505847,Avatar ,Action|Adventure|Fantasy|Sci-Fi
Color,Gore Verbinski,302,169,Johnny Depp,309404152,Pirates of the Caribbean: At World's End ,Action|Adventure|Fantasy
Color,Sam Mendes,602,148,Christoph Waltz,200074175,Spectre ,Action|Adventure|Thriller
Color,Christopher Nolan,813,164,Tom Hardy,448130642,The Dark Knight Rises ,Action|Thriller
Color,Andrew Stanton,462,132,Daryl Sabara,73058679,John Carter ,Action|Adventure|Sci-Fi
Color,Sam Raimi,392,156,J.K. Simmons,336530303,Spider-Man 3 ,Action|Adventure|Romance
Color,Nathan Greno,324,100,Brad Garrett,200807262,Tangled ,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
Color,Joss Whedon,635,141,Chris Hemsworth,458991599,Avengers: Age of Ultron ,Action|Adventure|Sci-Fi
Color,David Yates,375,153,Alan Rickman,301956980,Harry Potter and the Half-Blood Prince ,Adventure|Family|Fantasy|Mystery
Color,Zack Snyder,673,183,Henry Cavill,330249062,Batman v Superman: Dawn of Justice ,Action|Adventure|Sci-Fi
Color,Bryan Singer,434,169,Kevin Spacey,200069408,Superman Returns ,Action|Adventure|Sci-Fi
Color,Marc Forster,403,106,Giancarlo Giannini,168368427,Quantum of Solace ,Action|Adventure
Color,Gore Verbinski,313,151,Johnny Depp,423032628,Pirates of the Caribbean: Dead Man's Chest ,Action|Adventure|Fantasy
Color,Gore Verbinski,450,150,Johnny Depp,89289910,The Lone Ranger ,Action|Adventure|Western
Color,Zack Snyder,733,143,Henry Cavill,291021565,Man of Steel ,Action|Adventure|Fantasy|Sci-Fi
Color,Andrew Adamson,258,150,Peter Dinklage,141614023,The Chronicles of Narnia: Prince Caspian ,Action|Adventure|Family|Fantasy
Color,Joss Whedon,703,173,Chris Hemsworth,623279547,The Avengers ,Action|Adventure|Sci-Fi
Color,Rob Marshall,448,136,Johnny Depp,241063875,Pirates of the Caribbean: On Stranger Tides ,Action|Adventure|Fantasy
